uic_regex;coachgroup;short_name;name;additional_info;colloquial_names;comments
91800445.*;;Twindexx;Bombardier Twindexx Vario;;;
91800446.*;;Twindexx;Bombardier Twindexx Vario;;;
93805401.*;ICE01.*;ICE 1;ICE 1;;;
93805402.*;ICE02.*;ICE 2;ICE 2;;;
93805403.*;ICE03.*;ICE 3;ICE 3;;;
93805406.*;ICE46.*;ICE 3M;ICE 3M;;;
93805407.*;ICE47.*;ICE 3;Siemens Velaro D;;;
93805408.*;ICE80.*;ICE 3neo;Siemens Velaro MS;;;
93805411.*;ICE11.*;ICE T;ICE T;7-teilig;;
93805412.*;ICE9.*;ICE 4;ICE 4;;;
93805415.*;ICE15.*;ICE T;ICE T;5-teilig;;
94800420.*;T0420.*;BR420;Baureihe 420;;Der heilige ET;
94800422.*;T0422.*;BR422;Baureihe 422;;;
94800423.*;T0423.*;BR423;Baureihe 423;;;
94800424.*;T0424.*;BR424;Baureihe 424;;;
94800425.*;T0425.*;BR425;Baureihe 425;;;
948004260.*;T04260.*;BR426;Baureihe 426;;;
948004261.*;T04261.*;Flirt;Stadler FLIRT 1;2-teilig;;
94802526.*;T2526.*;Flirt Akku;Stadler FLIRT Akku;2-teilig;;
94800427.*;T0427.*;Flirt;Stadler FLIRT 1;3-teilig;;
94801427.*;T1427.*;Flirt;Stadler FLIRT 3;3-teilig;;
94803427.*;T3427.*;Flirt XL;Stadler FLIRT 3 XL;3-teilig;;
94800428.*;T0428.*;Flirt;Stadler FLIRT;4-teilig;;
94801428.*;T1428.*;Flirt;Stadler FLIRT 3;4-teilig;;
94800429.*;T0429.*;Flirt;Stadler FLIRT;5-teilig;;
94801429.*;T1429.*;Flirt;Stadler FLIRT 3;5-teilig;;
94802429.*;T2429.*;Flirt;Stadler FLIRT 3;5-teilig, Mehrsystem D/NL;;
94803429.*;T3429.*;Flirt XL;Stadler FLIRT 3 XL;5-teilig;;
948004300.*;T04300.*;BR430.0;Baureihe 430.0;S-Bahn Stuttgart;;
948004301.*;T04301.*;BR430.1;Baureihe 430.1;S-Bahn Rhein-Main;;
948004302.*;T04302.*;BR430.2;Baureihe 430.2;S-Bahn Stuttgart;;
94801430.*;T1430.*;Flirt;Stadler FLIRT 3;6-teilig;;
94800440[01].*;T0440[01].*;BR440;Alstom Coradia Continental;4-teilig;;
948004402.*;T04402.*;BR440;Alstom Coradia Continental;5-teilig;;
94800440[34].*;T0440[34].*;BR440;Alstom Coradia Continental;3-teilig;;
94801440[01].*;T1440[01].*;BR1440;Alstom Coradia Continental;4-teilig;;
948014402.*;T14402.*;BR440;Alstom Coradia Continental;5-teilig;;
948014403.*;T14403.*;BR1440;Alstom Coradia Continental;3-teilig;;
948014404.*;T14404.*;BR1440;Alstom Coradia Continental BEMU;3-teilig;;
94800442.*;T0442.*;BR442;Bombardier Talent 2;;Hamster,Hamsterbacke;
94801442.*;T1442.*;BR442;Bombardier Talent 2;S-Bahn Mitteldeutschland;Hamster,Hamsterbacke;
94802442.*;T2442.*;BR442;Bombardier Talent 2;mit ÖBB-Zulassung;Hamster,Hamsterbacke;
94803442.*;T3442.*;BR442;Bombardier Talent 2;Netz Gäu-Murr;Hamster,Hamsterbacke;
94808442.*;T8442.*;BR442;Bombardier Talent 3;;Hamster,Hamsterbacke;
94809442.*;T9442.*;BR442;Bombardier Talent 2;Abellio Rail Mitteldeutschland;Hamster,Hamsterbacke;
94800445.*;T0445.*;KISS;Stadler KISS;;;
948004500.*;T04500.*;Stadtbahn Karlsruhe;GT8-100C/2S;;;
948004508.*;T04508.*;Stadtbahn Karlsruhe;GT8-100D/2S-M;;;
948004509.*;T04509.*;Stadtbahn Karlsruhe;ET 2010;;;
94800452.*;T0452.*;RegioCitadis;Alstom RegioCitadis;;;
94800455.*;T0455.*;Nexio;CAF Nexio;;;
94800460.*;T0460.*;Desiro ML;Siemens Desiro ML;;;
94800462.*;T0462.*;Desiro HC;Siemens Desiro HC;4-teilig (RRX);;
94801462.*;T1462.*;Desiro HC;Siemens Desiro HC;4-teilig;;
94802462.*;T2462.*;Desiro HC;Siemens Desiro HC;5-teilig;;
94803462.*;T3462.*;Desiro HC;Siemens Desiro HC;6-teilig (Elbe-Spree);;
94804462.*;T4462.*;Desiro HC;Siemens Desiro HC;6-teilig (Franken-Thüringen);;
94800463.*;T0463.*;Mireo;Siemens Mireo;3-teilig;;
94801463.*;T1463.*;Mireo;Siemens Mireo;4-teilig;;
94802463.*;T2463.*;Mireo;Siemens Mireo;3-teilig (Augsburger Netze);;
94800563.*;T0563.*;Mireo Plus B;Siemens Mireo Plus B;;;
94803464.*;T3464.*;Mireo Smart;Siemens Mireo Smart;;;
94800472.*;T0472.*;BR472;Baureihe 472;;;
94800474.*;T0474.*;BR474;Baureihe 474;;;
94800480.*;T0480.*;BR480;Baureihe 480;;;
94800481.*;T0481.*;BR481;Baureihe 481;;;
94800483.*;T0483.*;BR483;Baureihe 483;;;
94800484.*;T0484.*;BR484;Baureihe 484;;;
94800485.*;T0485.*;BR485;Baureihe 485;;;
948004900.*;T04900.*;BR490;Baureihe 490;;;
948004901.*;T04901.*;BR490;Baureihe 490;Zweisystem (Stromschiene/Oberleitung);;
94800492.*;T0492.*;Tram-Train;Citylink Tram-Train;;;
94820023.*;T0023.*;KISS;Stadler KISS;;;
95800605.*;T0605.*;ICE TD;ICE TD;;;
95800612.*;T0612.*;BR612;Bombardier RegioSwinger;;;
95800615.*;T0615.*;Itino;Bombardier Itino;;;
95800620.*;T0620.*;LINT 81;Alstom Coradia LINT 81;;;
95800622.*;T0622.*;LINT 54;Alstom Coradia LINT 54;;;
95800623.*;T0623.*;LINT 41;Alstom Coradia LINT 41;;;
95800626.*;T0626.*;NE 81;NE 81;;;
95800628.*;T0628.*;BR628;Baureihe 628;;;
95800631.*;T0631.*;PESA LINK;PESA LINK;1-teilig;;
95800632.*;T0632.*;PESA LINK;PESA LINK;2-teilig;;
95800633.*;T0633.*;PESA LINK;PESA LINK;3-teilig;;
95800640.*;T0640.*;LINT 27;Alstom Coradia LINT 27;;;
95800641.*;T0641.*;A TER;Alstom Coradia A TER;;Walfisch;
95800642.*;T0642.*;Desiro Classic;Siemens Desiro Classic;;;
95800643.*;T0643.*;Talent;Bombardier Talent;dieselmechanisch;;
95800644.*;T0644.*;Talent;Bombardier Talent;dieselelektrisch;;
9580[012]648.*;T[012]648.*;LINT 41;Alstom Coradia LINT 41;;;
95800650.*;T0650.*;RS1;Stadler Regio-Shuttle RS1;;Fachwerktriebwagen;
958006540.*;T06540.*;RegioSprinter;RegioSprinter;;;
958006541.*;T06541.*;iLint;Alstom Coradia iLint;;;
95800670.*;T0670.*;BR670;Baureihe 670;;Doppelstock-Schienenbus;
