uic_number;coachgroup;given_name;special_features;comments
;ICE0101;Gießen;;
;ICE0102;Jever;;
;ICE0103;Neu-Isenburg;;
;ICE0104;Fulda;;
;ICE0105;Offenbach am Main;;
;ICE0106;Itzehoe;;
;ICE0107;Plattling;;
;ICE0108;Lichtenfels;;
;ICE0109;Lüneburg;;
;ICE0110;Gelsenkirchen;;
;ICE0111;Nürnberg;;
;ICE0112;Memmingen;;
;ICE0113;Frankenthal/Pfalz;;
;ICE0114;Friedrichshafen;;
;ICE0115;Regensburg;;
;ICE0116;Pforzheim;;
;ICE0117;Hof;;
;ICE0119;Osnabrück;;
;ICE0152;Hanau;;
;ICE0153;Neumünster;;
;ICE0154;Flensburg;;
;ICE0155;Rosenheim;;
;ICE0156;Heppenheim/Bergstraße;;
;ICE0157;Landshut;;
;ICE0158;Gütersloh;;
;ICE0159;Bad Oldesloe;;
;ICE0160;Mülheim an der Ruhr;;
;ICE0161;Bebra;;
;ICE0162;Geisenheim/Rheingau;;
;ICE0166;Gelnhausen;;
;ICE0167;Garmisch-Partenkirchen;;
;ICE0168;Crailsheim;;
;ICE0169;Worms;;
;ICE0171;Heusenstamm;;
;ICE0172;Aschaffenburg;;
;ICE0173;Basel;;
;ICE0174;Zürich;;
;ICE0175;Nürnberg;;
;ICE0176;Bremen;;
;ICE0177;Rendsburg;;
;ICE0178;Bremerhaven;;
;ICE0180;Castrop-Rauxel;;
;ICE0181;Interlaken;;
;ICE0182;Rüdesheim am Rhein;;
;ICE0183;Timmendorfer Strand;;
;ICE0184;Bruchsal;;
;ICE0185;Freilassing;;
;ICE0186;Chur;;
;ICE0187;Mühldorf a. Inn;;
;ICE0188;Hildesheim;;
;ICE0190;Ludwigshafen am Rhein;;
;ICE0201;Rheinsberg;;
;ICE0202;Wuppertal;;
;ICE0203;Cottbus/Chóśebuz;;
;ICE0204;Bielefeld;;
;ICE0205;Zwickau;;
;ICE0206;Magdeburg;;
;ICE0207;Stendal;;
;ICE0208;Bonn;;
;ICE0209;Riesa;;
;ICE0210;Fontanestadt Neuruppin;;
;ICE0211;Uelzen;;
;ICE0212;Potsdam;;
;ICE0213;Nauen;;
;ICE0214;Hamm (Westf.);;
;ICE0215;Bitterfeld-Wolfen;;
;ICE0216;Dessau;;
;ICE0217;Bergen auf Rügen;;
;ICE0218;Braunschweig;;
;ICE0219;Hagen;;
;ICE0220;Meiningen;;
;ICE0221;Lübbenau/Spreewald;;
;ICE0222;Eberswalde;;
;ICE0223;Schwerin;;
;ICE0224;Saalfeld (Saale);;
;ICE0225;Oldenburg (Oldb);;
;ICE0226;Lutherstadt Wittenberg;;
;ICE0227;Ludwigslust;;
;ICE0228;Altenburg;;
;ICE0229;Templin;;
;ICE0230;Delitzsch;;
;ICE0231;Brandenburg an der Havel;;
;ICE0232;Frankfurt (Oder);;
;ICE0233;Ulm;;
;ICE0234;Minden;;
;ICE0235;Görlitz;;
;ICE0236;Jüterbog;;
;ICE0237;Neustrelitz;;
;ICE0238;Saarbrücken;;
;ICE0239;Essen;;
;ICE0240;Bochum;;
;ICE0241;Bad Hersfeld;;
;ICE0242;Quedlinburg;;
;ICE0243;Bautzen/Budyšin;;
;ICE0244;Koblenz;;
;ICE0301;Freiburg im Breisgau;;
;ICE0302;Hansestadt Lübeck;;
;ICE0303;Dortmund;;
;ICE0304;München;;
;ICE0305;Baden-Baden;;
;ICE0306;Nördlingen;;
;ICE0307;Oberhausen;;
;ICE0308;Murnau am Staffelsee;;
;ICE0309;Aalen;;
;ICE0311;Wiesbaden;;
;ICE0312;Montabaur;;
;ICE0313;Treuchtlingen;;
;ICE0314;Bergisch Gladbach;;
;ICE0315;Singen (Hohentwiel);;
;ICE0316;Siegburg;;
;ICE0317;Recklinghausen;;
;ICE0318;Münster (Westf.);;
;ICE0319;Duisburg;;
;ICE0320;Weil am Rhein;;
;ICE0321;Krefeld;;
;ICE0322;Solingen;;
